%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1575431731975266131,21540,1570162025068691968,base_imu_link,-0.0359020831277,0.0606742229545,-0.307554221402,0.948915212226,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.97676953125,-1.01047765625,9.48041015625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732005974442,21541,1570162025088553905,base_imu_link,-0.0357332459063,0.0611733802651,-0.307603052875,0.948873708428,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.909736328125,-0.924292109375,9.78684765625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732006016741,21542,1570162025108460903,base_imu_link,-0.035257707086,0.0610000077601,-0.307303796386,0.948999615316,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.87641125,-0.9913253125,9.56199914062,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732022205164,21543,1570162025128478050,base_imu_link,-0.0352240389386,0.0608108987689,-0.307403165757,0.948980819276,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.01,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.01507421875,-1.00090148437,9.58115148437,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732033169814,21544,1570162025148300886,base_imu_link,-0.0350718350578,0.0612334811676,-0.307623496134,0.948887881573,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.924292109375,-1.05835851562,9.8872059375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732080464641,21545,1570162025168661117,base_imu_link,-0.0351931593826,0.0611041990266,-0.307877821689,0.948809235466,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.8043984375,-1.00549804687,9.52369445312,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732080612624,21546,1570162025188294887,base_imu_link,-0.0352793113481,0.0605782533671,-0.307834041658,0.94885396569,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.852279296875,-0.885987421875,9.65776085937,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732106023441,21547,1570162025208523988,base_imu_link,-0.034698679758,0.0601153050907,-0.307892898169,0.948885722821,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9147159375,-0.962596796875,9.70066210937,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732142250939,21548,1570162025228342056,base_imu_link,-0.0344943000804,0.0602178904819,-0.307643894949,0.948967429804,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.02005382812,-0.93846484375,9.8014034375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732142265518,21549,1570162025248364925,base_imu_link,-0.0340365901561,0.0605858185653,-0.307052084004,0.949152193712,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.905139765625,-1.11581554687,9.78684765625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732167901099,21550,1570162025268407106,base_imu_link,-0.0346337517529,0.06062915118,-0.307605883104,0.948948486456,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.01,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.89556359375,-1.08708703125,9.63860851562,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732193443623,21551,1570162025288402080,base_imu_link,-0.0351023011332,0.060598008691,-0.307590594349,0.948938215094,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.93386828125,-1.04380273437,9.8443046875,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732193479702,21552,1570162025308278083,base_imu_link,-0.0350758569233,0.0606133191902,-0.308004617462,0.948803913051,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.74694140625,-1.05835851562,9.55242296875,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732242470054,21553,1570162025328181028,base_imu_link,-0.0356011850623,0.0599313195459,-0.30754236282,0.948977601227,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.928888671875,-0.93846484375,9.5715753125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732242666125,21554,1570162025348261117,base_imu_link,-0.0351525466716,0.0600175873561,-0.306806368199,0.9492270751,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.741961796875,-1.01507421875,9.62903234375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732316422605,21555,1570162025368273973,base_imu_link,-0.0354320322051,0.0593950781779,-0.307176958545,0.949135981786,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.948041015625,-0.9913253125,9.62405273437,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732316450140,21556,1570162025388282060,base_imu_link,-0.0352456111246,0.0596959910836,-0.30707710678,0.949156354894,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.01047765625,-1.00090148437,9.65776085937,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732316501798,21557,1570162025408566951,base_imu_link,-0.0350719361284,0.060198306164,-0.307209381532,0.949088256765,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.905139765625,-1.08210742187,9.7247940625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732316508364,21558,1570162025428255081,base_imu_link,-0.0354146715395,0.0602321214148,-0.307442405233,0.948997924157,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.967193359375,-1.02963,9.729390625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732382795892,21559,1570162025448184967,base_imu_link,-0.0353488059283,0.0604709193937,-0.307177146662,0.949071088168,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.89556359375,-0.890583984375,9.4183565625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732382838145,21560,1570162025468097925,base_imu_link,-0.034856275151,0.0603745236384,-0.306706222467,0.949247728508,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.852279296875,-1.02005382812,9.66733703125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732382848100,21561,1570162025488193035,base_imu_link,-0.0349272807746,0.0601324988381,-0.306888568298,0.949201545663,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.02005382812,-0.866835078125,9.62903234375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732389694985,21562,1570162025508064031,base_imu_link,-0.0340683081495,0.0605679887442,-0.306555067011,0.949312835692,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,0.0,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.953020625,-1.03920617187,9.65278125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732417629350,21563,1570162025528069019,base_imu_link,-0.0343188220415,0.0608553940574,-0.306936992806,0.949162010362,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,-0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-1.02465039062,-1.03920617187,9.82515234375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732441121799,21564,1570162025548274993,base_imu_link,-0.0342768632409,0.0612219417549,-0.307157910616,0.949068484589,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.01,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.9193125,-1.00549804687,9.7247940625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1575431732448776787,21565,1570162025568047046,base_imu_link,-0.0343414172208,0.0611182862846,-0.306583664628,0.949258488889,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.03,-0.01,0.03,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.852279296875,-1.02465039062,9.729390625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
